ticker;name;volume;last_price;variation
PGMN3;Pague Menos;885100;3.37;-0.59
KEPL3;Kepler Weber;869100;10.83;-1.55
SYNE3;SYN;843100;4.21;0.96
AZEV3;Azevedo & Travassos;832800;2.09;2.96
PLPL3;Plano&Plano;825400;11.36;-1.56
TRIS3;Trisul;787100;5.54;-1.07
VLID3;Valid;774800;20.55;3.21
LIGT3;Light;680000;5.95;-1.82
ENJU3;Enjoei;673200;1.53;2.00
TTEN3;3tentos;667000;11.17;-1.67
TRAD3;Traders Club;629800;0.94;4.44
SEER3;Ser Educacional;617700;6.42;0.31
LEVE3;Mahle Metal Leve;599600;32.40;-1.79
DASA3;Dasa;572700;9.16;-0.22
CTNM4;Coteminas;571100;1.35;0.00
ABCB4;Banco ABC Brasil;558700;21.89;0.64
BLAU3;Blau Farmacêutica;538500;15.90;-0.93
JALL3;Jalles Machado;508600;7.94;-1.00
ORVR3;Orizon;501200;35.24;-2.44
CTSA4;Santanense;499000;2.24;5.66
WIZC3;Wiz Soluções;485400;5.89;0.86
ELET6;Eletrobras;481600;44.72;-0.36
CSED3;Cruzeiro do Sul Educacional;472100;4.12;1.23
MILS3;Mills;468700;12.56;-1.18
SHUL4;Schulz;464800;7.32;-1.08
CMIG3;CEMIG;463400;15.24;-2.37
BRIT3;Brisanet;428500;3.18;-0.62
AGRO3;BrasilAgro;425300;24.14;-0.49
HBRE3;HBR Realty;422200;5.04;-3.08
PDTC3;Padtec;421200;3.18;10.03
WEST3;Westwing;402100;1.37;0.74
JSLG3;JSL;397000;9.73;-0.21
PNVL3;Dimed;393200;11.95;2.49
LAVV3;Lavvi Incorporadora;380100;7.40;-0.94
PFRM3;Profarma;373600;5.30;-1.12
FIQE3;Unifique;373200;3.69;-0.54
BMGB4;Banco BMG;365600;2.62;0.00
LUPA3;Lupatech;363000;2.16;-0.92
TUPY3;Tupy;351300;25.83;0.90
VITT3;Vittia;347100;10.43;-3.52
TASA4;Taurus;331900;14.36;-0.97
SAPR3;Sanepar;316500;4.96;0.00
VVEO3;Viveo;311000;14.18;-1.05
MDNE3;Moura Dubeux;308000;11.49;-2.71
PINE4;PINE;307600;3.74;-1.06
BMOB3;Bemobi;300800;12.91;-1.38
VIVR3;Viver;296900;4.16;3.74
MATD3;Mater Dei;295300;7.40;-2.63
NGRD3;Neogrid;262600;1.28;-0.78
RCSL3;Recrusul;262400;1.63;-0.61
FRAS3;Fras-le;254600;15.41;-1.22
KLBN3;Klabin;242300;4.71;0.86
ROMI3;Indústrias ROMI;210300;12.37;-0.32
TAEE4;Taesa;210300;12.23;0.16
USIM3;Usiminas;198900;7.67;-2.29
SHOW3;Time For Fun;197300;2.07;-0.48
RNEW4;Renova Energia;196400;1.05;0.96
POMO3;Marcopolo;195000;4.78;-1.65
LOGG3;LOG CP;191000;22.30;-2.53
CTSA3;Santanense;187700;4.00;55.04
DESK3;Desktop;180600;16.36;-2.21
PORT3;Wilson Sons;177500;15.48;-0.83
ETER3;Eternit;177300;8.72;-3.00
PDGR3;PDG Realty;171100;2.55;0.79
SOJA3;Boa Safra Sementes;162100;15.28;-2.18
DOTZ3;Dotz;158700;1.01;1.00
ITSA3;Itaúsa;148000;9.56;-0.21
LPSB3;Lopes;147200;2.26;0.89
UNIP6;Unipar;139900;75.18;0.19
ALPK3;Estapar;139000;4.16;0.97
TFCO4;Track & Field;135500;13.42;-1.18
TGMA3;Tegma;133400;26.54;-0.41
IGTI3;Jereissati Participações;122800;2.87;1.41
IGTI3;Iguatemi;122800;2.87;1.41
NINJ3;GetNinjas;121900;4.60;0.88
TAEE3;Taesa;118800;12.11;-0.25
LAND3;Terra Santa;109300;16.14;-2.12
EUCA4;Eucatex;108100;15.50;1.57
CSUD3;CSU Cardsystem;107900;19.10;3.24
TCSA3;Tecnisa;106900;2.99;0.00
FESA4;Ferbasa;105400;46.57;-0.19
ATMP3;Atma;104500;3.20;-0.31
CAMB3;Cambuci;92000;9.30;-1.59
MELK3;Melnick;91000;4.22;0.72
RNEW3;Renova Energia;90600;1.08;2.86
SANB4;Banco Santander;88300;16.26;0.18
DEXP3;Dexxos;87800;11.29;2.17
BRKM3;Braskem;83900;21.00;3.14
AGXY3;AgroGalaxy;83100;3.90;-2.50
PRNR3;Priner;82600;11.40;-0.18
RSID3;Rossi Residencial;79000;4.08;-1.21
SANB3;Banco Santander;75200;14.41;0.42
ELMD3;Eletromidia;72100;15.21;0.80
BRAP3;Bradespar;71800;22.25;0.14
TECN3;Technos;62700;3.43;1.48
TPIS3;Triunfo;61700;4.02;1.01
JFEN3;João Fortes;56500;2.41;0.00
GOAU3;Metalúrgica Gerdau;55800;10.60;-0.66
APER3;Alper;54300;42.87;-0.12
INEP3;Inepar;49100;4.33;1.88
CEBR3;CEB;40800;14.80;-4.45
LOGN3;Log-In;40000;46.66;-4.39
DMVF3;D1000 Varejo Farma;39100;5.20;-1.14
RPMG3;Refinaria de Manguinhos;34900;2.04;-8.11
GGBR3;Gerdau;33000;20.87;-0.10
ALLD3;Allied;31300;6.20;0.16
AALR3;Alliança;30100;10.25;-1.91
BEES3;Banestes;29300;8.64;1.05
OIBR4;Oi;27400;1.70;-0.58
WHRL4;Whirlpool;26700;4.24;-0.24
PTNT4;Pettenati;24200;8.38;-1.99
FHER3;Fertilizantes Heringer;21800;7.47;2.05
LVTC3;WDC Networks;21000;4.12;1.23
INEP4;Inepar;20500;3.08;-0.96
TASA3;Taurus;19700;14.42;0.70
ATOM3;ATOM;18900;2.09;0.00
CEBR6;CEB;17700;16.63;1.40
HAGA4;Haga;17700;1.16;-3.33
BPAC5;Banco BTG Pactual;15800;8.99;3.10
HOOT4;Hotéis Othon;15800;2.90;3.57
UCAS3;Unicasa;14900;2.67;-2.91
VSTE3;LE LIS BLANC;14700;14.50;3.20
BMEB4;Banco Mercantil do Brasil;13400;14.83;0.61
SCAR3;São Carlos;13300;23.19;-0.69
ALUP4;Alupar;13100;9.62;-0.41
EALT4;Electro Aço Altona;12100;8.80;1.03
BIOM3;Biomm;12100;6.36;9.66
AVLL3;Alphaville;11900;4.90;6.52
COCE5;Coelce;11700;41.84;2.30
BRSR3;Banrisul;11500;12.60;0.72
ENGI4;Energisa;11100;8.31;-4.15
BPAC3;Banco BTG Pactual;11000;16.70;3.41
SNSY5;Sansuy;10900;3.82;0.53
OSXB3;OSX Brasil;10800;4.07;-0.25
PMAM3;Paranapanema;9900;4.28;0.47
REDE3;Rede Energia;7900;6.50;-1.22
NUTR3;Nutriplant;7600;4.47;3.95
ALUP3;Alupar;7100;9.50;-1.35
BEES4;Banestes;6200;9.36;-0.21
EMAE4;EMAE;5700;59.10;1.03
CGRA4;Grazziotin;5600;25.90;-1.41
BOBR4;Bombril;5500;1.99;0.00
TELB4;Telebras;5200;11.90;0.00
MTSA4;METISA;5100;48.49;-0.41
OFSA3;Ourofino Saúde Animal;5100;21.85;0.23
FRIO3;Metalfrio;4500;95.00;5.54
UNIP3;Unipar;4100;68.16;0.32
MGEL4;Mangels;3700;13.99;0.00
EQPA3;Equatorial Energia Pará;3700;7.40;3.93
EPAR3;EPAR3;3600;10.60;-1.76
ENGI3;Energisa;3500;17.91;0.34
TELB3;Telebras;3400;16.36;0.06
CRIV3;Alfa Financeira;3300;5.85;1.74
CLSC4;Celesc;3000;61.22;-0.46
ENMT3;Energisa MT;2900;62.99;1.61
DEXP4;Dexxos;2900;10.45;-0.48
CGRA3;Grazziotin;2800;25.14;0.24
RDNI3;RNI;2800;4.62;-0.43
WHRL3;Whirlpool;2800;4.25;2.16
CEDO4;Cedro Têxtil;2600;24.99;0.00
ALPA3;Alpargatas;2600;9.51;-0.42
BAZA3;Banco da Amazônia;2500;80.36;-0.38
TEKA4;Teka;2500;16.75;-6.89
BAHI3;Bahema;2400;8.29;1.10
CEBR5;CEB;2100;14.91;1.08
CRPG5;Tronox Pigmentos;2000;37.63;0.00
GEPA4;Rio Paranapanema Energia;1900;26.09;0.00
DOHL4;Döhler;1900;5.58;0.90
BRIV4;Alfa Investimento;1800;10.40;0.19
RAPT3;Randon;1600;9.95;0.20
BDLL4;Bardella;1600;8.40;0.00
