open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1657825200000;AHEB6.SA;33.0;33.0;33.0;33.0;33.0;0;;;;stocks;;;;
1660244400000;AHEB6.SA;33.0;33.0;33.0;33.0;33.0;100;;;;stocks;;;;
1661799600000;AHEB6.SA;20.0;20.0;20.0;20.0;20.0;0;;;;stocks;;;;
1671217200000;AHEB6.SA;19.31;19.31;19.31;19.31;19.31;0;;;;stocks;;;;
1681999200000;AHEB6.SA;20.01;20.01;20.01;20.01;20.01;100;;;;stocks;;;;
1682355600000;AHEB6.SA;20.0;20.0;20.0;20.0;20.0;100;;;;stocks;;;;
1683050400000;AHEB6.SA;21.0;21.0;20.0;21.0;21.0;0;;;;stocks;;;;
1690984800000;AHEB6.SA;18.5;18.5;18.5;18.5;18.5;0;;;;stocks;;;;
1692295200000;AHEB6.SA;17.01;17.01;17.01;17.01;17.01;0;;;;stocks;;;;
1695740400000;AHEB6.SA;17.02;17.02;17.02;17.02;17.02;100;;;2023-09-26 12:00:00-03:00;stocks;;;;
