open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1641823200000;BRKM6.SA;37.19;37.19;37.19;37.19;37.19;0;;;;;stocks;;;;
1641834000000;BRKM6.SA;37.89;37.89;37.89;37.89;37.89;400;;;;;stocks;;;;
1643050800000;BRKM6.SA;38.79;38.79;38.79;38.79;38.79;0;;;;;stocks;;;;
1643896800000;BRKM6.SA;35.2;35.2;35.1;35.1;35.1;500;;;;;stocks;;;;
1643904000000;BRKM6.SA;35.09;35.09;35.09;35.09;35.09;100;;;;;stocks;;;;
1643914800000;BRKM6.SA;34.99;34.99;34.99;34.99;34.99;100;;;;;stocks;;;;
1643986800000;BRKM6.SA;33.99;34.0;33.9;34.0;34.0;800;;;;;stocks;;;;
1643997600000;BRKM6.SA;33.69;33.69;33.69;33.69;33.69;300;;;;;stocks;;;;
1644001200000;BRKM6.SA;33.69;33.69;33.69;33.69;33.69;200;;;;;stocks;;;;
1644246000000;BRKM6.SA;33.5;33.5;33.5;33.5;33.5;0;;;;;stocks;;;;
1644260400000;BRKM6.SA;30.0;30.0;29.02;29.14;29.14;900;;;;;stocks;;;;
1644519600000;BRKM6.SA;30.0;30.0;30.0;30.0;30.0;0;;;;;stocks;;;;
1645711200000;BRKM6.SA;30.0;30.0;30.0;30.0;30.0;100;;;;;stocks;;;;
1646672400000;BRKM6.SA;26.7;26.7;26.7;26.7;26.7;100;;;;;stocks;;;;
1647871200000;BRKM6.SA;25.0;25.0;25.0;25.0;25.0;300;;;14.38;;stocks;;;;
1647878400000;BRKM6.SA;25.0;25.0;25.0;25.0;25.0;100;;;14.38;;stocks;;;;
1649088000000;BRKM6.SA;25.0;25.0;25.0;25.0;25.0;0;;;14.38;;stocks;;;;
1649095200000;BRKM6.SA;25.01;25.01;25.01;25.01;25.01;100;;;14.44;;stocks;;;;
