open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1640890800000;AHEB5.SA;22.0;22.0;22.0;22.0;22.0;0;;;;stocks;;;;
1682359200000;AHEB5.SA;19.89;19.89;19.89;19.89;19.89;100;;;;stocks;;;;
1682449200000;AHEB5.SA;20.0;20.0;20.0;20.0;20.0;0;;;;stocks;;;;
1684263600000;AHEB5.SA;16.51;16.51;16.51;16.51;16.51;100;;;;stocks;;;;
1684436400000;AHEB5.SA;18.5;18.5;18.5;18.5;18.5;0;;;;stocks;;;;
1690221600000;AHEB5.SA;16.51;16.51;16.51;16.51;16.51;200;;;;stocks;;;;
1691499600000;AHEB5.SA;16.5;16.5;16.5;16.5;16.5;0;;;;stocks;;;;
1691517600000;AHEB5.SA;16.49;16.49;16.49;16.49;16.49;100;;;;stocks;;;;
1692291600000;AHEB5.SA;16.51;16.51;16.51;16.51;16.51;0;;;;stocks;;;;
1692723600000;AHEB5.SA;16.59;16.59;16.59;16.59;16.59;0;;;2023-08-22 14:00:00-03:00;stocks;;;;
