open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1639674000000;REIT11.SA;550.0;550.0;550.0;550.0;550.0;1;;;;;fii;;;;
1641225600000;REIT11.SA;560.0;560.0;550.0;560.0;560.0;0;;;;;fii;;;;
1643029200000;REIT11.SA;500.0;560.0;500.0;560.0;560.0;0;;;;;fii;;;;
1643032800000;REIT11.SA;500.13;500.13;500.13;500.13;500.13;6;;;;;fii;;;;
1644944400000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;0;;;;;fii;;;;
1645023600000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;1;;;;;fii;;;;
1645707600000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;0;;;;;fii;;;;
1646751600000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;4;;;;;fii;;;;
1649253600000;REIT11.SA;600.01;600.01;600.01;600.01;600.01;0;;;;;fii;;;;
1649257200000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;1;;;;;fii;;;;
1649779200000;REIT11.SA;600.0;600.0;600.0;600.0;600.0;0;;;;;fii;;;;
1652799600000;REIT11.SA;487.52;487.52;487.52;487.52;487.52;0;;;;;fii;;;;
1652806800000;REIT11.SA;487.52;487.52;487.52;487.52;487.52;2;;;;;fii;;;;
1652882400000;REIT11.SA;487.52;487.52;487.52;487.52;487.52;0;;;;;fii;;;;
1652968800000;REIT11.SA;410.0;410.0;410.0;410.0;410.0;0;;;30.54;;fii;;;;
1653660000000;REIT11.SA;487.52;487.52;487.52;487.52;487.52;0;;;43.62;;fii;;;;
1653667200000;REIT11.SA;487.52;487.52;487.52;487.52;487.52;8;;;43.62;;fii;;;;
1655913600000;REIT11.SA;480.0;480.0;480.0;480.0;480.0;2;;;42.72;;fii;;;;
1660575600000;REIT11.SA;480.0;480.0;480.0;480.0;480.0;0;;;42.72;;fii;;;;
