open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1638554400000;MERC3.SA;27.0;27.0;27.0;27.0;27.0;0;;;;stocks;;;;
1653674400000;MERC3.SA;22.0;22.0;22.0;22.0;22.0;0;;;;stocks;;;;
1659110400000;MERC3.SA;20.0;20.0;20.0;20.0;20.0;0;;;;stocks;;;;
1659117600000;MERC3.SA;20.25;20.25;20.25;20.25;20.25;100;;;;stocks;;;;
1659632400000;MERC3.SA;20.0;20.0;20.0;20.0;20.0;0;;;;stocks;;;;
1660323600000;MERC3.SA;18.9;18.9;18.9;18.9;18.9;0;;;;stocks;;;;
1665079200000;MERC3.SA;17.0;17.0;17.0;17.0;17.0;0;;;;stocks;;;;
1665496800000;MERC3.SA;16.8;16.8;16.8;16.8;16.8;100;;;;stocks;;;;
1666620000000;MERC3.SA;14.5;14.5;14.5;14.5;14.5;200;;;;stocks;;;;
1666638000000;MERC3.SA;15.39;15.39;15.39;15.39;15.39;200;;;;stocks;;;;
1666717200000;MERC3.SA;14.56;16.0;14.56;16.0;16.0;100;;;2022-10-25 14:00:00-03:00;stocks;;;;
