open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1690383600000;BTSI11.SA;105.0;105.0;105.0;105.0;105.0;0;;;;fii;;;;
1690466400000;BTSI11.SA;95.02;95.29;95.01;95.29;95.29;8;;;;fii;;;;
1691427600000;BTSI11.SA;105.0;105.0;105.0;105.0;105.0;0;;;;fii;;;;
1692018000000;BTSI11.SA;105.0;105.0;105.0;105.0;105.0;0;;;;fii;;;;
1692028800000;BTSI11.SA;105.0;105.0;105.0;105.0;105.0;2;;;;fii;;;;
1693594800000;BTSI11.SA;64.89;105.0;64.89;64.89;64.89;3500;;;;fii;;;;
1693918800000;BTSI11.SA;64.9;64.9;64.9;64.9;64.9;0;;;;fii;;;;
1693936800000;BTSI11.SA;80.05;80.05;80.05;80.05;80.05;1;;;;fii;;;;
1694008800000;BTSI11.SA;104.0;104.0;104.0;104.0;104.0;3;;;;fii;;;;
1699639200000;BTSI11.SA;102.54;104.0;102.54;102.54;102.54;0;;;;fii;;;;
1699970400000;BTSI11.SA;97.41;97.41;97.41;97.41;97.41;0;;;2023-11-14 11:00:00-03:00;fii;;;;
