open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1642532400000;GPAR3.SA;41.52;41.52;41.52;41.52;41.52;0;;;;;stocks;;;;
1644595200000;GPAR3.SA;41.5;41.5;41.5;41.5;41.5;100;;;;;stocks;;;;
1646316000000;GPAR3.SA;41.0;41.0;41.0;41.0;41.0;0;;;;;stocks;;;;
1647882000000;GPAR3.SA;35.0;35.0;35.0;35.0;35.0;0;;;;;stocks;;;;
1647885600000;GPAR3.SA;35.0;35.0;35.0;35.0;35.0;100;;;;;stocks;;;;
1647957600000;GPAR3.SA;35.0;35.0;35.0;35.0;35.0;0;;;;;stocks;;;;
1649772000000;GPAR3.SA;30.0;30.0;30.0;30.0;30.0;200;;;;;stocks;;;;
1650294000000;GPAR3.SA;31.0;31.0;31.0;31.0;31.0;0;;;;;stocks;;;;
1650632400000;GPAR3.SA;29.5;29.5;29.5;29.5;29.5;100;;;;;stocks;;;;
1650895200000;GPAR3.SA;30.0;30.0;30.0;30.0;30.0;0;;;;;stocks;;;;
1652119200000;GPAR3.SA;29.5;30.0;29.5;30.0;30.0;0;;;;;stocks;;;;
1654110000000;GPAR3.SA;29.5;29.5;29.5;29.5;29.5;0;;;;;stocks;;;;
1656342000000;GPAR3.SA;29.0;29.0;29.0;29.0;29.0;100;;;;;stocks;;;;
1656442800000;GPAR3.SA;37.62;37.62;37.62;37.62;37.62;0;;;;;stocks;;;;
1656514800000;GPAR3.SA;39.0;39.0;39.0;39.0;39.0;0;;;45.06;;stocks;;;;
1656518400000;GPAR3.SA;34.33;34.33;34.33;34.33;34.33;100;;;37.64;;stocks;;;;
1656597600000;GPAR3.SA;34.33;34.33;34.33;34.33;34.33;0;;;37.64;;stocks;;;;
1656615600000;GPAR3.SA;38.99;39.0;38.98;39.0;39.0;400;;;47.64;;stocks;;;;
1656698400000;GPAR3.SA;28.51;28.51;28.5;28.5;28.5;0;;;34.32;;stocks;;;;
1657044000000;GPAR3.SA;28.5;28.5;28.5;28.5;28.5;0;;;34.32;;stocks;;;;
1657202400000;GPAR3.SA;28.5;28.5;28.5;28.5;28.5;100;;;34.32;;stocks;;;;
1658862000000;GPAR3.SA;28.5;28.5;28.5;28.5;28.5;0;;;34.32;;stocks;;;;
1659110400000;GPAR3.SA;28.84;28.84;28.84;28.84;28.84;0;;;35.11;;stocks;;;;
1659632400000;GPAR3.SA;28.84;28.84;28.84;28.84;28.84;0;;;35.11;;stocks;;;;
1659974400000;GPAR3.SA;28.84;28.84;28.84;28.84;28.84;100;;;35.11;;stocks;;;;
1660143600000;GPAR3.SA;28.84;28.93;28.84;28.93;28.93;800;;;35.37;;stocks;;;;
1661274000000;GPAR3.SA;34.02;34.02;34.02;34.02;34.02;100;;;47.93;;stocks;;;;
1661349600000;GPAR3.SA;37.0;37.0;37.0;37.0;37.0;0;;;53.62;;stocks;;;;
1661356800000;GPAR3.SA;39.0;39.25;39.0;39.25;39.25;200;;;57.4;;stocks;;;;
1661360400000;GPAR3.SA;39.5;39.5;39.5;39.5;39.5;100;;;57.81;;stocks;;;;
1661540400000;GPAR3.SA;39.5;39.5;39.5;39.5;39.5;0;;;57.81;;stocks;;;;
1662048000000;GPAR3.SA;40.0;40.0;39.5;39.5;39.5;100;;;57.81;;stocks;;;;
