open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1638457200000;BRIM11.SA;1132.0;1132.0;1132.0;1132.0;1132.0;0;;;;fii;;;;
1638896400000;BRIM11.SA;1131.65;1131.65;1131.65;1131.65;1131.65;0;;;;fii;;;;
1638903600000;BRIM11.SA;1131.65;1131.65;1131.65;1131.65;1131.65;278;;;;fii;;;;
1640887200000;BRIM11.SA;1170.83;1170.83;1170.83;1170.83;1170.83;0;;;;fii;;;;
1655215200000;BRIM11.SA;1018.0;1170.83;1018.0;1018.0;1018.0;0;;;;fii;;;;
1656424800000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;1;;;;fii;;;;
1656608400000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;0;;;;fii;;;;
1656943200000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;0;;;;fii;;;;
1657555200000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;0;;;;fii;;;;
1658167200000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;1;;;;fii;;;;
1658505600000;BRIM11.SA;1018.0;1018.0;1018.0;1018.0;1018.0;0;;;2022-07-22 13:00:00-03:00;fii;;;;
