open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1638558000000;CSRN5.SA;17.5;17.5;17.5;17.5;17.5;0;;;;;stocks;;;;
1638806400000;CSRN5.SA;15.1;15.1;14.82;14.82;14.82;0;;;;;stocks;;;;
1638810000000;CSRN5.SA;15.53;15.83;15.53;15.83;15.83;500;;;;;stocks;;;;
1641308400000;CSRN5.SA;15.25;15.25;15.25;15.25;15.25;0;;;;;stocks;;;;
1646326800000;CSRN5.SA;16.61;16.61;16.61;16.61;16.61;300;;;;;stocks;;;;
1646334000000;CSRN5.SA;16.72;16.72;16.72;16.72;16.72;100;;;;;stocks;;;;
1648663200000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;0;;;;;stocks;;;;
1650394800000;CSRN5.SA;19.0;19.0;18.52;18.52;18.52;0;;;;;stocks;;;;
1652713200000;CSRN5.SA;18.0;18.4;18.0;18.4;18.4;0;;;;;stocks;;;;
1654534800000;CSRN5.SA;22.4;22.4;22.4;22.4;22.4;0;;;;;stocks;;;;
1654606800000;CSRN5.SA;22.38;22.38;22.15;22.38;22.38;200;;;;;stocks;;;;
1654610400000;CSRN5.SA;22.4;22.4;22.4;22.4;22.4;100;;;;;stocks;;;;
1655316000000;CSRN5.SA;19.1;19.6;19.1;19.6;19.6;0;;;;;stocks;;;;
1657908000000;CSRN5.SA;17.83;17.83;17.83;17.83;17.83;200;;;;;stocks;;;;
1657911600000;CSRN5.SA;18.59;19.57;18.59;19.57;19.57;100;;;55.46;;stocks;;;;
1658858400000;CSRN5.SA;18.0;18.0;18.0;18.0;18.0;0;;;50.92;;stocks;;;;
1659013200000;CSRN5.SA;19.67;20.0;19.67;20.0;20.0;500;;;55.87;;stocks;;;;
1659016800000;CSRN5.SA;20.0;20.0;20.0;20.0;20.0;800;;;55.87;;stocks;;;;
1659020400000;CSRN5.SA;20.0;20.0;20.0;20.0;20.0;0;;;55.87;;stocks;;;;
1659099600000;CSRN5.SA;21.5;21.5;21.5;21.5;21.5;0;;;59.68;;stocks;;;;
1659110400000;CSRN5.SA;21.5;21.5;21.5;21.5;21.5;100;;;59.68;;stocks;;;;
1659114000000;CSRN5.SA;21.76;21.76;21.76;21.76;21.76;300;;;60.37;;stocks;;;;
1659117600000;CSRN5.SA;21.91;21.96;21.91;21.96;21.96;100;;;60.92;;stocks;;;;
1659362400000;CSRN5.SA;22.22;22.22;22.22;22.22;22.22;0;;;61.67;;stocks;;;;
1659373200000;CSRN5.SA;23.2;23.2;23.2;23.2;23.2;100;;;64.44;;stocks;;;;
1659618000000;CSRN5.SA;18.8;23.2;18.8;19.6;19.6;300;;;50.13;;stocks;;;;
1660064400000;CSRN5.SA;20.59;20.59;19.79;19.79;19.79;100;;;50.76;;stocks;;;;
1660068000000;CSRN5.SA;20.34;20.34;20.34;20.34;20.34;100;;;52.6;;stocks;;;;
1660136400000;CSRN5.SA;20.58;20.58;20.58;20.58;20.58;0;;;53.41;;stocks;;;;
1660244400000;CSRN5.SA;20.33;20.33;20.33;20.33;20.33;100;;;52.4;;stocks;;;;
1660654800000;CSRN5.SA;20.09;20.09;20.09;20.09;20.09;100;;;51.39;;stocks;;;;
1660658400000;CSRN5.SA;19.65;19.65;19.65;19.65;19.65;100;;;49.51;;stocks;;;;
1660845600000;CSRN5.SA;21.0;21.0;21.0;21.0;21.0;100;;;54.96;;stocks;;;;
1660917600000;CSRN5.SA;20.2;20.2;20.2;20.2;20.2;0;;;51.42;;stocks;;;;
1661785200000;CSRN5.SA;20.31;20.31;20.31;20.31;20.31;100;;;51.88;;stocks;;;;
1662732000000;CSRN5.SA;22.65;22.65;22.65;22.65;22.65;100;;;60.45;;stocks;;;;
1662742800000;CSRN5.SA;22.55;22.55;22.55;22.55;22.55;300;;;59.95;;stocks;;;;
1662991200000;CSRN5.SA;21.3;21.3;21.3;21.3;21.3;0;;;54.04;;stocks;;;;
1663959600000;CSRN5.SA;23.0;23.0;23.0;23.0;23.0;100;;;59.84;;stocks;;;;
1664204400000;CSRN5.SA;23.98;23.98;21.6;21.6;21.6;100;;;53.82;;stocks;;;;
1664388000000;CSRN5.SA;22.99;22.99;22.99;22.99;22.99;0;;;58.31;;stocks;;;;
1664463600000;CSRN5.SA;22.99;22.99;22.99;22.99;22.99;1100;;;58.31;;stocks;;;;
1664809200000;CSRN5.SA;23.98;23.98;23.98;23.98;23.98;0;;;61.4;;stocks;;;;
1666101600000;CSRN5.SA;20.48;20.48;20.48;20.48;20.48;0;;;47.86;;stocks;;;;
1666112400000;CSRN5.SA;21.0;23.98;21.0;23.98;23.98;400;;;57.87;;stocks;;;;
1666195200000;CSRN5.SA;19.82;19.82;19.3;19.34;19.34;800;;;45.42;;stocks;;;;
1666206000000;CSRN5.SA;19.53;19.99;19.53;19.98;19.98;300;;;47.11;;stocks;;;;
1666270800000;CSRN5.SA;19.9;19.9;19.9;19.9;19.9;0;;;46.92;;stocks;;;;
1667228400000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;100;;;44.67;;stocks;;;;
1667232000000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;100;;;44.67;;stocks;;;;
1667307600000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;300;;;44.67;;stocks;;;;
1667311200000;CSRN5.SA;18.99;18.99;18.99;18.99;18.99;400;;;44.64;;stocks;;;;
1667322000000;CSRN5.SA;18.99;19.0;18.99;19.0;19.0;400;;;44.68;;stocks;;;;
1667329200000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;100;;;44.68;;stocks;;;;
1667491200000;CSRN5.SA;18.99;18.99;18.99;18.99;18.99;0;;;44.64;;stocks;;;;
1667498400000;CSRN5.SA;18.62;18.62;18.62;18.62;18.62;100;;;43.22;;stocks;;;;
1667502000000;CSRN5.SA;18.62;19.0;18.62;18.62;18.62;100;;;43.22;;stocks;;;;
1667574000000;CSRN5.SA;19.2;19.2;19.2;19.2;19.2;0;;;46.33;;stocks;;;;
1667919600000;CSRN5.SA;19.39;19.39;19.39;19.39;19.39;0;;;47.35;;stocks;;;;
1667998800000;CSRN5.SA;19.25;19.25;19.25;19.25;19.25;0;;;46.65;;stocks;;;;
1668020400000;CSRN5.SA;19.3;20.74;19.3;20.74;20.74;100;;;54.41;;stocks;;;;
1668776400000;CSRN5.SA;20.98;20.98;20.98;20.98;20.98;0;;;55.53;;stocks;;;;
1668794400000;CSRN5.SA;20.96;20.98;20.96;20.98;20.98;500;;;55.53;;stocks;;;;
1669741200000;CSRN5.SA;19.0;19.0;19.0;19.0;19.0;0;;;44.95;;stocks;;;;
1669813200000;CSRN5.SA;19.23;19.23;19.23;19.23;19.23;0;;;46.23;;stocks;;;;
1669816800000;CSRN5.SA;20.98;20.98;20.98;20.98;20.98;200;;;54.84;;stocks;;;;
1669986000000;CSRN5.SA;20.5;20.5;20.5;20.5;20.5;0;;;52.37;;stocks;;;;
1670511600000;CSRN5.SA;20.5;20.5;20.5;20.5;20.5;100;;;52.37;;stocks;;;;
1670526000000;CSRN5.SA;20.8;20.8;20.8;20.8;20.8;100;;;53.88;;stocks;;;;
1671123600000;CSRN5.SA;19.3;19.3;19.3;19.3;19.3;0;;;46.02;;stocks;;;;
1671195600000;CSRN5.SA;19.3;19.3;19.3;19.3;19.3;0;;;46.02;;stocks;;;;
1672671600000;CSRN5.SA;22.99;25.0;22.99;25.0;25.0;300;;;67.14;;stocks;;;;
1673895600000;CSRN5.SA;24.46;24.8;24.46;24.46;24.46;0;;;64.56;;stocks;;;;
1674756000000;CSRN5.SA;24.5;24.5;24.5;24.5;24.5;0;;;64.67;;stocks;;;;
1675782000000;CSRN5.SA;27.93;27.93;27.93;27.93;27.93;800;;;72.44;;stocks;;;;
1675796400000;CSRN5.SA;25.71;25.71;25.71;25.71;25.71;0;;;62.81;;stocks;;;;
1678820400000;CSRN5.SA;23.92;23.92;23.92;23.92;23.92;0;;;56.31;;stocks;;;;
1679335200000;CSRN5.SA;23.93;23.93;23.93;23.93;23.93;200;;;56.34;;stocks;;;;
1680188400000;CSRN5.SA;23.94;23.94;23.94;23.94;23.94;0;;;56.37;;stocks;;;;
1680195600000;CSRN5.SA;23.94;23.94;23.94;23.94;23.94;500;;;56.37;;stocks;;;;
1681138800000;CSRN5.SA;26.58;26.58;26.58;26.58;26.58;0;;;63.79;;stocks;;;;
1681480800000;CSRN5.SA;26.58;26.58;26.58;26.58;26.58;0;;;63.79;;stocks;;;;
1681750800000;CSRN5.SA;26.58;26.58;26.58;26.58;26.58;0;;;63.79;;stocks;;;;
1682431200000;CSRN5.SA;25.51;26.58;25.51;25.51;25.51;0;;;58.73;;stocks;;;;
1684166400000;CSRN5.SA;22.5;22.5;22.5;22.5;22.5;0;;;47.36;;stocks;;;;
1684328400000;CSRN5.SA;22.5;22.5;22.5;22.5;22.5;0;;;47.36;;stocks;;;;
1684432800000;CSRN5.SA;21.4;21.4;21.4;21.4;21.4;0;;;43.77;;stocks;;;;
1684778400000;CSRN5.SA;23.29;23.4;23.29;23.4;23.4;100;;;51.04;;stocks;;;;
1684857600000;CSRN5.SA;22.07;22.07;22.07;22.07;22.07;0;;;46.71;;stocks;;;;
1685365200000;CSRN5.SA;23.9;26.26;23.9;25.8;25.8;600;;;57.57;;stocks;;;;
1685469600000;CSRN5.SA;25.79;25.79;25.79;25.79;25.79;0;;;57.54;;stocks;;;;
1685473200000;CSRN5.SA;25.79;25.79;25.79;25.79;25.79;100;;;57.54;;stocks;;;;
1685628000000;CSRN5.SA;23.11;23.11;23.11;23.11;23.11;0;;;48.65;;stocks;;;;
1685718000000;CSRN5.SA;23.11;23.11;23.11;23.11;23.11;0;;;48.65;;stocks;;;;
1685728800000;CSRN5.SA;24.49;24.49;24.49;24.49;24.49;100;;;52.99;;stocks;;;;
1685732400000;CSRN5.SA;26.0;26.0;26.0;26.0;26.0;500;;;57.24;;stocks;;;;
1686333600000;CSRN5.SA;24.8;24.8;24.8;24.8;24.8;0;;;53.13;;stocks;;;;
1686574800000;CSRN5.SA;25.95;25.99;25.95;25.99;25.99;0;;;56.47;;stocks;;;;
1686920400000;CSRN5.SA;25.98;25.98;25.98;25.98;25.98;0;;;56.43;;stocks;;;;
1690812000000;CSRN5.SA;29.63;29.63;29.63;29.63;29.63;100;;;65.25;;stocks;;;;
1690819200000;CSRN5.SA;29.61;29.61;25.98;25.98;25.98;200;;;53.58;;stocks;;;;
1698850800000;CSRN5.SA;25.48;25.48;25.48;25.48;25.48;0;;;52.2;;stocks;;;;
1699552800000;CSRN5.SA;28.0;28.0;28.0;28.0;28.0;0;;;58.05;;stocks;;;;
1699880400000;CSRN5.SA;28.0;28.0;28.0;28.0;28.0;100;;;58.05;2023-11-13 10:00:00-03:00;stocks;;;;
