open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1638817200000;MSPA4.SA;46.0;46.0;46.0;46.0;46.0;0;;;;stocks;;;;
1647280800000;MSPA4.SA;46.0;46.0;46.0;46.0;46.0;0;;;;stocks;;;;
1647352800000;MSPA4.SA;45.99;45.99;45.99;45.99;45.99;0;;;;stocks;;;;
1648666800000;MSPA4.SA;47.0;47.0;47.0;47.0;47.0;0;;;;stocks;;;;
1648742400000;MSPA4.SA;47.0;47.0;47.0;47.0;47.0;100;;;;stocks;;;;
1651687200000;MSPA4.SA;46.5;46.5;46.5;46.5;46.5;100;;;;stocks;;;;
1659628800000;MSPA4.SA;41.35;41.35;41.35;41.35;41.35;0;;;;stocks;;;;
1671807600000;MSPA4.SA;40.8;40.8;40.8;40.8;40.8;100;;;;stocks;;;;
1683572400000;MSPA4.SA;40.93;41.0;40.93;40.93;40.93;0;;;;stocks;;;;
1684177200000;MSPA4.SA;39.99;39.99;39.99;39.99;39.99;0;;;;stocks;;;;
1684868400000;MSPA4.SA;40.0;40.0;40.0;40.0;40.0;0;;;2023-05-23 16:00:00-03:00;stocks;;;;
