open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1682524800000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1683126000000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1683136800000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;320;;;;fii;;;;
1683140400000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;300;;;;fii;;;;
1683745200000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1683914400000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1684764000000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1685023200000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1688140800000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;50;;;;fii;;;;
1688583600000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;1000;;;;fii;;;;
1699297200000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;;fii;;;;
1700848800000;GCOI11.SA;98.99;98.99;98.99;98.99;98.99;0;;;2023-11-24 15:00:00-03:00;fii;;;;
