open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1698861600000;SPMO11.SA;119.9;119.9;119.9;119.9;119.9;0;;;;fii;;;;
1699027200000;SPMO11.SA;119.9;119.9;119.9;119.9;119.9;0;;;;fii;;;;
1699030800000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;414;;;;fii;;;;
1699279200000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;0;;;;fii;;;;
1699459200000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;381;;;;fii;;;;
1699545600000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;2083;;;;fii;;;;
1699556400000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;2916;;;;fii;;;;
1699632000000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;0;;;;fii;;;;
1699894800000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;1250;;;;fii;;;;
1700146800000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;830;;;;fii;;;;
1700240400000;SPMO11.SA;120.0;120.0;120.0;120.0;120.0;0;;;2023-11-17 14:00:00-03:00;fii;;;;
