s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
2022-11-10;1668038400000;RBRI11.SA;999.89;999.89;999.89;999.89;999.89;99;fii;;;;
2023-04-25;1682380800000;RBRI11.SA;995.0;995.0;995.0;995.0;995.0;2;fii;;;;
2023-05-08;1683504000000;RBRI11.SA;995.0;995.0;995.0;995.0;995.0;1;fii;;;;
2023-05-12;1683849600000;RBRI11.SA;995.0;995.0;995.0;995.0;995.0;1;fii;;;;
2023-05-24;1684886400000;RBRI11.SA;995.0;995.0;995.0;995.0;995.0;18;fii;;;;
2023-06-23;1687478400000;RBRI11.SA;915.0;915.0;915.0;915.0;915.0;53;fii;;;;
2023-11-21;1700524800000;RBRI11.SA;916.01;916.01;916.01;916.01;916.01;2;fii;;;;
